Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Gasmelseed A.; Ismael M.A.; Said M.A.; Ahmad F.; Osman S.,"Gasmelseed, Abdelrahman (59261779900); Ismael, Mhadi A. (55812090000); Said, Mior A. (34975797200); Ahmad, Faiz (36112819900); Osman, Sohaib (57205304268)",59261779900; 55812090000; 34975797200; 36112819900; 57205304268,Thermal management strategies for lithium-ion batteries in electric vehicles: A comprehensive review of nanofluid-based battery thermal management systems,2024,25,10.1016/j.rineng.2024.103339,https://www.scopus.com/pages/publications/85208657174?origin=resultslist,passed_stage1,"capacity, discharge",passed_stage2,"voltage, current",relevant
Sun J.; Gu A.; Kainz J.,"Sun, Jinghua (58315104400); Gu, Ankun (59493929100); Kainz, Josef (55956653300)",58315104400; 59493929100; 55956653300,A solution framework for the experimental data shortage problem of lithium-ion batteries: Generative adversarial network-based data augmentation for battery state estimation,2025,26,10.1016/j.jechem.2024.12.010,https://www.scopus.com/pages/publications/85213520321?origin=resultslist,passed_stage1,"charge, voltage, current",passed_stage2,"voltage, curve",relevant
R-Smith N.A.-Z.; Moertelmaier M.; Gramse G.; Kasper M.; Ragulskis M.; Groebmeyer A.; Jurjovec M.; Brorein E.; Zollo B.; Kienberger F.,"R-Smith, Nawfal Al-Zubaidi (56880389200); Moertelmaier, Manuel (10640395200); Gramse, Georg (35109139700); Kasper, Manuel (35725724100); Ragulskis, Mykolas (57194458762); Groebmeyer, Albert (57226891519); Jurjovec, Mark (58124209500); Brorein, Ed (6506357593); Zollo, Bob (31767804600); Kienberger, Ferry (55931296300)",56880389200; 10640395200; 35109139700; 35725724100; 57194458762; 57226891519; 58124209500; 6506357593; 31767804600; 55931296300,Fast method for calibrated self-discharge measurement of lithium-ion batteries including temperature effects and comparison to modelling,2023,27,10.1016/j.egyr.2023.10.031,https://www.scopus.com/pages/publications/85173612998?origin=resultslist,passed_stage1,"plot, voltage, discharge, current",passed_stage2,"current, discharge, voltage",relevant
Wang K.; Zhang J.; Chang C.; Zhang Y.; Yan K.; Sun H.; Ouyang D.; Qian X.,"Wang, Kuo (57481462800); Zhang, Jianqi (57832766000); Chang, Chongye (57223443711); Zhang, Yue (57391707800); Yan, Ke (57211509843); Sun, Haoshi (57221763609); Ouyang, Dongxu (57199849512); Qian, Xinming (7402052528)",57481462800; 57832766000; 57223443711; 57391707800; 57211509843; 57221763609; 57199849512; 7402052528,Thermal runaway evolution of a 4S4P lithium-ion battery pack induced by both overcharging and unilateral preheating,2024,24,10.1016/j.csite.2024.105324,https://www.scopus.com/pages/publications/85207062720?origin=resultslist,passed_stage1,"voltage, curve",passed_stage2,voltage,relevant
Venegas P.; Gómez D.; Arrinda M.; Oyarbide M.; Macicior H.; Bermúdez A.,"Venegas, P. (56785724500); Gómez, D. (35856643100); Arrinda, M. (57202989572); Oyarbide, M. (56364064400); Macicior, H. (23005654700); Bermúdez, A. (7006102422)",56785724500; 35856643100; 57202989572; 56364064400; 23005654700; 7006102422,Kalman filter and classical Preisach hysteresis model applied to the state of charge battery estimation,2022,22,10.1016/j.camwa.2022.05.009,https://www.scopus.com/pages/publications/85131464031?origin=resultslist,passed_stage1,"charge, voltage, curve",passed_stage2,"voltage, current",relevant
Sadeghi H.; Restuccia F.,"Sadeghi, Hosein (57192117701); Restuccia, Francesco (57191982300)",57192117701; 57191982300,Kinetic modelling of thermal decomposition in lithium-ion battery components during thermal runaway,2025,25,10.1016/j.jpowsour.2024.236026,https://www.scopus.com/pages/publications/85211978797?origin=resultslist,passed_stage1,"charge, voltage, discharge, current",passed_stage2,current,relevant
Geng S.; Zhou J.; Tan B.; Zheng B.; Zhang K.,"Geng, Shuanglong (58644452700); Zhou, Junwu (57218554720); Tan, Bowen (59296877800); Zheng, Bailin (7201781399); Zhang, Kai (57347617500)",58644452700; 57218554720; 59296877800; 7201781399; 57347617500,Impact of thickness and charge rate on the electrochemical performance of Si-based electrodes,2024,21,10.1016/j.xcrp.2024.102305,https://www.scopus.com/pages/publications/85212344272?origin=resultslist,passed_stage1,"capacity, curve",passed_stage2,current,relevant
Wimarshana B.; Bin-Mat-Arishad I.; Fly A.,"Wimarshana, Buddhi (55994300400); Bin-Mat-Arishad, Izzuan (57460402600); Fly, Ashley (55943443500)",55994300400; 57460402600; 55943443500,A multi-step parameter identification of a physico-chemical lithium-ion battery model with electrochemical impedance data,2023,22,10.1016/j.jpowsour.2023.233400,https://www.scopus.com/pages/publications/85165460123?origin=resultslist,passed_stage1,"charge, discharge, impedance, plot, voltage",passed_stage2,"voltage, discharge",relevant
Clerici D.; Martelli S.; Mocera F.; Somà A.,"Clerici, Davide (57216180683); Martelli, Salvatore (57949422300); Mocera, Francesco (57189682315); Somà, Aurelio (7004123495)",57216180683; 57949422300; 57189682315; 7004123495,Mechanical characterization of lithium-ion batteries with different chemistries and formats,2024,20,10.1016/j.est.2024.110899,https://www.scopus.com/pages/publications/85185317133?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",passed_stage2,"capacity, charge, voltage, discharge",relevant
Li S.; Patel A.N.; Zhang C.; Amietszajew T.; Kirkaldy N.; Offer G.J.; Marinescu M.,"Li, Shen (57216806883); Patel, Anisha N. (55229574500); Zhang, Cheng (56241467900); Amietszajew, Tazdin (56811722600); Kirkaldy, Niall (56331175100); Offer, Gregory J. (23098060000); Marinescu, Monica (36701631300)",57216806883; 55229574500; 56241467900; 56811722600; 56331175100; 23098060000; 36701631300,Internal temperature estimation for lithium-ion batteries through distributed equivalent circuit network model,2024,27,10.1016/j.jpowsour.2024.234701,https://www.scopus.com/pages/publications/85194049642?origin=resultslist,passed_stage1,"charge, discharge, current, voltage",passed_stage2,"capacity, voltage, discharge",relevant
He X.; Hu Z.; Restuccia F.; Fang J.; Rein G.,"He, Xuanze (57210639559); Hu, Zhenwen (57217143180); Restuccia, Francesco (57191982300); Fang, Jun (57206956214); Rein, Guillermo (13009145700)",57210639559; 57217143180; 57191982300; 57206956214; 13009145700,Experimental study of the effect of the state of charge on self-heating ignition of large ensembles of lithium-ion batteries in storage,2022,21,10.1016/j.applthermaleng.2022.118621,https://www.scopus.com/pages/publications/85131263279?origin=resultslist,passed_stage1,"voltage, plot, curve",passed_stage2,voltage,relevant
Sordi G.; Stecchini A.; Evangelista R.; Luder D.; Li W.; Sauer D.U.; Casalegno A.; Rabissi C.,"Sordi, G. (57221766574); Stecchini, A. (59657335500); Evangelista, R. (59658615500); Luder, D. (56820182000); Li, W. (57216172072); Sauer, D.U. (7005040792); Casalegno, A. (23007648200); Rabissi, C. (56389534800)",57221766574; 59657335500; 59658615500; 56820182000; 57216172072; 7005040792; 23007648200; 56389534800,Degradation of lithium-ion batteries under automotive-like conditions: P2D model-based understanding and ex-situ validation,2025,21,10.1016/j.etran.2025.100410,https://www.scopus.com/pages/publications/85219035141?origin=resultslist,passed_stage1,"discharge, plot, impedance, current, voltage",passed_stage2,charge,relevant
Wang H.; Li J.; Liu X.; Rao J.; Fan Y.; Tan X.,"Wang, Huanyu (57825120300); Li, Jun (59968389300); Liu, Xiaoxi (57310493100); Rao, Jun (57220164102); Fan, Yuqian (57208055763); Tan, Xiaojun (55248826100)",57825120300; 59968389300; 57310493100; 57220164102; 57208055763; 55248826100,Online state of health estimation for lithium-ion batteries based on a dual self-attention multivariate time series prediction network,2022,22,10.1016/j.egyr.2022.07.017,https://www.scopus.com/pages/publications/85134430757?origin=resultslist,passed_stage1,"capacity, voltage, current, curve",passed_stage2,"capacity, voltage, current",relevant
Khan F.M.N.; Rasul M.G.; Sayem A.S.M.; Mandal N.K.,"Khan, F.M. NizamUddin (58421864900); Rasul, Mohammad G. (6603918185); Sayem, A.S.M. (36161421300); Mandal, Nirmal K. (36812034800)",58421864900; 6603918185; 36161421300; 36812034800,A computational analysis of effects of electrode thickness on the energy density of lithium-ion batteries,2024,28,10.1016/j.energy.2023.129774,https://www.scopus.com/pages/publications/85179602983?origin=resultslist,passed_stage1,"voltage, discharge",passed_stage2,"charge, voltage, discharge",relevant
Phattharasupakun N.; Bunyanidhi P.; Chiochan P.; Chanlek N.; Sawangphruk M.,"Phattharasupakun, Nutthaphon (56734444100); Bunyanidhi, Panyawee (57218622412); Chiochan, Poramane (55395310300); Chanlek, Narong (24775167600); Sawangphruk, Montree (35756736500)",56734444100; 57218622412; 55395310300; 24775167600; 35756736500,Effect of charging protocols on electrochemical performance and failure mechanism of commercial level Ni-rich NMC811 thick electrode,2022,27,10.1016/j.elecom.2022.107309,https://www.scopus.com/pages/publications/85133314944?origin=resultslist,passed_stage1,"charge, current, discharge, voltage",passed_stage2,"charge, capacity, voltage, discharge",relevant
Liu Y.; Sun K.; Jiang J.; Zhou W.; Shang Y.; Du C.; Li B.,"Liu, Yanyan (48061242700); Sun, Kang (55621701000); Jiang, Jianchun (27171277300); Zhou, Wenshu (57221784416); Shang, Yuan (57210173640); Du, Chenxia (7202172780); Li, Baojun (57215374509)",48061242700; 55621701000; 27171277300; 57221784416; 57210173640; 7202172780; 57215374509,Metallurgical pyrolysis toward Co@Nitrogen-doped carbon composite for lithium storage,2021,21,10.1016/j.gee.2020.03.003,https://www.scopus.com/pages/publications/85100190848?origin=resultslist,passed_stage1,"charge, current, discharge, plot",passed_stage2,"capacity, voltage, current",relevant
Hu W.; Qian Q.,"Hu, Weiting (59149285800); Qian, Quan (23394060600)",59149285800; 23394060600,Lithium-ion battery state of health and failure analysis with mixture weibull and equivalent circuit model,2024,22,10.1016/j.isci.2024.109980,https://www.scopus.com/pages/publications/85194535679?origin=resultslist,passed_stage1,"charge, discharge, plot, impedance",passed_stage2,"capacity, impedance, curve",relevant
Chen F.; Fang G.,"Chen, Fang (55714370100); Fang, Gengfa (17434280900)",55714370100; 17434280900,"Harnessing digital twin and IoT for real-time monitoring, diagnostics, and error correction in domestic solar energy storage",2024,21,10.1016/j.egyr.2024.03.024,https://www.scopus.com/pages/publications/85188509174?origin=resultslist,passed_stage1,"charge, discharge, current, voltage, curve",passed_stage2,"charge, discharge, current, voltage",relevant
Streb M.; Ohrelius M.; Klett M.; Lindbergh G.,"Streb, Moritz (57408529500); Ohrelius, Mathilda (57211941591); Klett, Matilda (55360135700); Lindbergh, Göran (7003616493)",57408529500; 57211941591; 55360135700; 7003616493,Improving Li-ion battery parameter estimation by global optimal experiment design,2022,25,10.1016/j.est.2022.105948,https://www.scopus.com/pages/publications/85140984662?origin=resultslist,passed_stage1,"discharge, plot",passed_stage2,voltage,relevant
Singh A.; Song J.; Li W.; Martin T.; Xu H.; Finegan D.P.; Zhu J.,"Singh, Avtar (57211751012); Song, Jihun (57207910995); Li, Wei (57190576752); Martin, Trevor (56701591600); Xu, Hongyi (55537631700); Finegan, Donal P. (56613490600); Zhu, Juner (56375937900)",57211751012; 57207910995; 57190576752; 56701591600; 55537631700; 56613490600; 56375937900,Microstructure-chemomechanics relations of polycrystalline cathodes in solid-state batteries,2024,21,10.1016/j.eml.2024.102164,https://www.scopus.com/pages/publications/85191661977?origin=resultslist,passed_stage1,"voltage, plot",passed_stage2,voltage,relevant
Cao Z.; Gao W.; Fu Y.; Kurdkandi N.V.; Mi C.,"Cao, Zhi (57202019492); Gao, Wei (57225919478); Fu, Yuhong (55670167200); Kurdkandi, Naser Vosoughi (6507035169); Mi, Chris (24081001100)",57202019492; 57225919478; 55670167200; 6507035169; 24081001100,A general framework for lithium-ion battery state of health estimation: From laboratory tests to machine learning with transferability across domains,2025,28,10.1016/j.apenergy.2024.125086,https://www.scopus.com/pages/publications/85212051118?origin=resultslist,passed_stage1,"capacity, voltage, current",passed_stage2,capacity,relevant
Liu X.; Li J.; Yao Z.; Wang Z.; Si R.; Diao Y.,"Liu, Xiwen (57215137031); Li, Jia (57208632268); Yao, Zhuohong (57222002481); Wang, Zhongyan (57208633196); Si, Ruicai (57208618822); Diao, Yunpeng (57222009487)",57215137031; 57208632268; 57222002481; 57208633196; 57208618822; 57222009487,Research on battery SOH estimation algorithm of energy storage frequency modulation system,2022,26,10.1016/j.egyr.2021.11.015,https://www.scopus.com/pages/publications/85120651223?origin=resultslist,passed_stage1,"capacity, voltage, curve",passed_stage2,"charge, capacity, discharge, voltage, curve",relevant
Keyhani-Asl A.; Perera N.; Lahr J.; Hasan R.,"Keyhani-Asl, Alireza (57205265352); Perera, Noel (55045426600); Lahr, Jens (57741361500); Hasan, Reaz (55552620000)",57205265352; 55045426600; 57741361500; 55552620000,"Porous media and foam application in battery thermal management systems: A comprehensive review focused on its impact, numerical modeling, and experimental preparation.",2024,25,10.1016/j.est.2024.112306,https://www.scopus.com/pages/publications/85194581908?origin=resultslist,passed_stage1,"charge, discharge",passed_stage2,"capacity, discharge",relevant
García A.; Monsalve-Serrano J.; Ponce-Mora A.; Fogué-Robles Á.,"García, Antonio (55757783902); Monsalve-Serrano, Javier (55815162600); Ponce-Mora, Alberto (57209107943); Fogué-Robles, Álvaro (57217867134)",55757783902; 55815162600; 57209107943; 57217867134,Development of a calibration methodology for fitting the response of a lithium-ion cell P2D model using real driving cycles,2023,25,10.1016/j.energy.2023.126992,https://www.scopus.com/pages/publications/85148669614?origin=resultslist,passed_stage1,"voltage, current",passed_stage2,"charge, discharge, current, voltage",relevant
Yang J.; Li X.; Sun X.; Cai Y.; Mi C.,"Yang, Jufeng (57189240306); Li, Xin (56703789000); Sun, Xiaodong (55727911900); Cai, Yingfeng (26423580200); Mi, Chris (24081001100)",57189240306; 56703789000; 55727911900; 26423580200; 24081001100,An efficient and robust method for lithium-ion battery capacity estimation using constant-voltage charging time,2023,24,10.1016/j.energy.2022.125743,https://www.scopus.com/pages/publications/85140298874?origin=resultslist,passed_stage1,"capacity, current",passed_stage2,"capacity, voltage",relevant
Tahir M.U.; Sangwongwanich A.; Stroe D.-I.; Blaabjerg F.,"Tahir, Muhammad Usman (57954560500); Sangwongwanich, Ariya (56732907900); Stroe, Daniel-Ioan (36683200900); Blaabjerg, Frede (7004992352)",57954560500; 56732907900; 36683200900; 7004992352,Multi-objective optimization for multi-stage constant current charging for Li-ion batteries,2024,27,10.1016/j.est.2024.111313,https://www.scopus.com/pages/publications/85187784192?origin=resultslist,passed_stage1,"capacity, current, voltage",passed_stage2,"charge, voltage, discharge, current",relevant
Guo J.; Liu M.; Luo P.; Chen X.; Yu H.; Wei X.,"Guo, Jielong (57207732404); Liu, Meijun (58167771300); Luo, Peng (58586746500); Chen, Xia (57899884500); Yu, Hui (56071787200); Wei, Xian (56304291000)",57207732404; 58167771300; 58586746500; 57899884500; 56071787200; 56304291000,Attention-based BILSTM for the degradation trend prediction of lithium battery,2023,21,10.1016/j.egyr.2023.03.056,https://www.scopus.com/pages/publications/85151482305?origin=resultslist,passed_stage1,voltage,passed_stage2,voltage,relevant
Sarmadian A.; Widanage W.D.; Shollock B.; Restuccia F.,"Sarmadian, Alireza (57189988272); Widanage, W. Dhammika (16317933200); Shollock, Barbara (6603538478); Restuccia, Francesco (57191982300)",57189988272; 16317933200; 6603538478; 57191982300,"Experimentally-verified thermal-electrochemical simulations of a cylindrical battery using physics-based, simplified and generalised lumped models",2023,25,10.1016/j.est.2023.107910,https://www.scopus.com/pages/publications/85162199537?origin=resultslist,passed_stage1,"charge, voltage, discharge, current",passed_stage2,"voltage, discharge, current",relevant
Beltran H.; Sansano E.; Pecht M.,"Beltran, Hector (56336441400); Sansano, Emilio (57201135498); Pecht, Michael (7102777145)",56336441400; 57201135498; 7102777145,Machine learning techniques suitability to estimate the retained capacity in lithium-ion batteries from partial charge/discharge curves,2023,28,10.1016/j.est.2022.106346,https://www.scopus.com/pages/publications/85144624467?origin=resultslist,passed_stage1,"capacity, voltage",passed_stage2,"capacity, voltage",relevant
Hidalgo-Reyes J.I.; Gómez-Aguilar J.F.; Alvarado-Martínez V.M.; López-López M.G.; Escobar-Jiménez R.F.,"Hidalgo-Reyes, J.I. (60018925200); Gómez-Aguilar, J.F. (55389111400); Alvarado-Martínez, V.M. (6603538550); López-López, M.G. (37120477200); Escobar-Jiménez, R.F. (56962755800)",60018925200; 55389111400; 6603538550; 37120477200; 56962755800,Battery state-of-charge estimation using fractional extended Kalman filter with Mittag-Leffler memory,2020,27,10.1016/j.aej.2019.12.006,https://www.scopus.com/pages/publications/85077369406?origin=resultslist,passed_stage1,"voltage, current, curve",passed_stage2,voltage,relevant
Hofmann T.; Hamar J.; Mager B.; Erhard S.; Schmidt J.P.,"Hofmann, Tobias (58637680400); Hamar, Jacob (57222994314); Mager, Bastian (59166795600); Erhard, Simon (56330071900); Schmidt, Jan Philipp (36700469200)",58637680400; 57222994314; 59166795600; 56330071900; 36700469200,Transfer learning from synthetic data for open-circuit voltage curve reconstruction and state of health estimation of lithium-ion batteries from partial charging segments,2024,24,10.1016/j.egyai.2024.100382,https://www.scopus.com/pages/publications/85195576446?origin=resultslist,passed_stage1,"charge, capacity, plot, current, voltage, curve",passed_stage2,"charge, voltage, curve",relevant
Wu C.; Wu L.; Qiu C.; Yang J.; Yuan X.; Cai Y.; Shi H.,"Wu, Chongtian (58073432100); Wu, Linxu (58071931100); Qiu, Chenghui (57820527000); Yang, Jiaming (58073183900); Yuan, Xiaolu (58072679900); Cai, Yufei (36466116000); Shi, Hong (55448171100)",58073432100; 58071931100; 57820527000; 58073183900; 58072679900; 36466116000; 55448171100,Experimental and numerical studies on lithium-ion battery heat generation behaviors,2023,27,10.1016/j.egyr.2023.04.021,https://www.scopus.com/pages/publications/85152887378?origin=resultslist,passed_stage1,"discharge, plot",passed_stage2,current,relevant
Jussambayev M.; Shakenov K.; Sultakhan S.; Zhantikeyev U.; Askaruly K.; Toshtay K.; Azat S.,"Jussambayev, Mirlan (59525183800); Shakenov, Kalizhan (57203387996); Sultakhan, Shynggyskhan (57572701000); Zhantikeyev, Ulan (57221326975); Askaruly, Kydyr (57211404041); Toshtay, Kainaubek (55702988800); Azat, Seitkhan (55448049300)",59525183800; 57203387996; 57572701000; 57221326975; 57211404041; 55702988800; 55448049300,MXenes for sustainable energy: A comprehensive review on conservation and storage applications,2025,30,10.1016/j.cartre.2025.100471,https://www.scopus.com/pages/publications/85215860094?origin=resultslist,passed_stage1,"charge, discharge, impedance",passed_stage2,current,relevant
Mattia L.; Beiranvand H.; Zamboni W.; Liserre M.,"Mattia, Luigi (58486502300); Beiranvand, Hamzeh (56862208300); Zamboni, Walter (8571283800); Liserre, Marco (6603906502)",58486502300; 56862208300; 8571283800; 6603906502,Lithium-ion battery thermal modelling and characterisation: A comprehensive review,2025,24,10.1016/j.est.2025.117114,https://www.scopus.com/pages/publications/105007819310?origin=resultslist,passed_stage1,"voltage, impedance, current",passed_stage2,"voltage, current",relevant
Taghikhani K.; Huber W.; Weddle P.J.; Asle Zaeem M.; Berger J.R.; Kee R.J.,"Taghikhani, Kasra (57211473318); Huber, William (57931919300); Weddle, Peter J. (57126387300); Asle Zaeem, Mohsen (15764473200); Berger, J.R. (7403413518); Kee, Robert J. (7006161733)",57211473318; 57931919300; 57126387300; 15764473200; 7403413518; 7006161733,Modeling coupled electro-chemo-mechanical phenomena within all-solid-state battery composite cathodes,2025,18,10.1016/j.jmps.2025.106060,https://www.scopus.com/pages/publications/85217800454?origin=resultslist,passed_stage1,"charge, capacity, current, voltage, curve",passed_stage2,"charge, capacity, current, voltage, specific capacity",relevant
Abo Gamra K.; Wassiliadis N.; Allgäuer C.; Lienkamp M.,"Abo Gamra, Kareem (59426469300); Wassiliadis, Nikolaos (57194639271); Allgäuer, Christian (58810621100); Lienkamp, Markus (6602932870)",59426469300; 57194639271; 58810621100; 6602932870,Revealing the effect of initial conditions and the potential of self-heating versus active heating on fast-charged lithium-ion batteries,2024,15,10.1016/j.est.2024.110968,https://www.scopus.com/pages/publications/85185563575?origin=resultslist,passed_stage1,"charge, voltage, current",passed_stage2,"charge, current",relevant
Zhou P.; Liang J.; Liu Y.; Wu J.; Song Q.; Li X.,"Zhou, Pengfei (59822324300); Liang, Junli (59407316300); Liu, Yunlong (59556761300); Wu, Ji (14030666400); Song, Qi (57193525345); Li, Xiangyang (57190744661)",59822324300; 59407316300; 59556761300; 14030666400; 57193525345; 57190744661,Capacity estimation of retired lithium-ion batteries using random charging segments from massive real-world data,2025,14,10.1016/j.xcrp.2025.102444,https://www.scopus.com/pages/publications/85217802854?origin=resultslist,passed_stage1,capacity,passed_stage2,"capacity, voltage",relevant
Sun W.; Li Q.M.; Xiao P.; Carbone P.,"Sun, Wei (57235954100); Li, Q.M. (7405857474); Xiao, Ping (7103088976); Carbone, Paola (22233683400)",57235954100; 7405857474; 7103088976; 22233683400,Effect of a compressed separator on the electrochemical performance of Li-ion battery,2023,16,10.1016/j.jpowsour.2023.232835,https://www.scopus.com/pages/publications/85148356235?origin=resultslist,passed_stage1,"charge, capacity, discharge, voltage, curve",passed_stage2,"capacity, voltage",relevant
Oehler F.F.; Deuschl X.; Nürnberger K.; Graule A.; Kücher S.; Roth T.; Adam A.; Li J.; Mörtel R.; Jossen A.,"Oehler, F.F. (57447526100); Deuschl, X. (59047506400); Nürnberger, K. (57447150300); Graule, A. (58097977000); Kücher, S. (57223379651); Roth, T. (57436355900); Adam, A. (57219412990); Li, J. (55557044100); Mörtel, R. (59289965700); Jossen, A. (57202897843)",57447526100; 59047506400; 57447150300; 58097977000; 57223379651; 57436355900; 57219412990; 55557044100; 59289965700; 57202897843,Online adaptive anode potential-controlled fast charging of lithium-ion cells using a validated electrochemical model-based virtual reference electrode,2024,20,10.1016/j.jpowsour.2024.234620,https://www.scopus.com/pages/publications/85192239401?origin=resultslist,passed_stage1,"voltage, current",passed_stage2,"voltage, current",relevant
Zhang C.; Guo Y.; Wang C.; Li S.; Curnick O.; Amietszajew T.; Bhagat R.,"Zhang, Cheng (56241467900); Guo, Yue (56151726800); Wang, Chongming (55195113100); Li, Shen (57216806883); Curnick, Oliver (36902842100); Amietszajew, Taz (56811722600); Bhagat, Rohit (25228214600)",56241467900; 56151726800; 55195113100; 57216806883; 36902842100; 56811722600; 25228214600,A new design of experiment method for model parametrisation of lithium ion battery,2022,20,10.1016/j.est.2022.104301,https://www.scopus.com/pages/publications/85125444201?origin=resultslist,passed_stage1,"voltage, discharge, current",passed_stage2,voltage,relevant
Clausnitzer M.; Ihrig M.; Cressa L.; Hein S.; Finsterbusch M.; Eswara S.; Kuo L.-Y.; Danner T.; Kaghazchi P.; Fattakhova-Rohlfing D.; Guillon O.; Latz A.,"Clausnitzer, Moritz (58036758000); Ihrig, Martin (57216418532); Cressa, Luca (57970976200); Hein, Simon (56938156000); Finsterbusch, Martin (23396429700); Eswara, Santhana (57216575068); Kuo, Liang-Yin (57192209587); Danner, Timo (55634313400); Kaghazchi, Payam (23670273200); Fattakhova-Rohlfing, Dina (55938199400); Guillon, Olivier (9238126600); Latz, Arnulf (55892543200)",58036758000; 57216418532; 57970976200; 56938156000; 23396429700; 57216575068; 57192209587; 55634313400; 23670273200; 55938199400; 9238126600; 55892543200,Impact of degradation mechanisms at the cathode/electrolyte interface of garnet-based all-solid-state batteries,2024,19,10.1016/j.ensm.2024.103262,https://www.scopus.com/pages/publications/85186542792?origin=resultslist,passed_stage1,"capacity, discharge, current, voltage, curve",passed_stage2,"capacity, voltage",relevant
Dorri M.; M R A.K.; Zaghib K.,"Dorri, Mehrdad (57200363590); M R, Anil Kumar (58848636400); Zaghib, Karim (56243855600)",57200363590; 58848636400; 56243855600,In operando and in situ characterization tools for advanced rechargeable batteries: Effects of electrode origin and electrolyte,2025,12,10.1016/j.jpowsour.2025.238188,https://www.scopus.com/pages/publications/105014916370?origin=resultslist,passed_stage1,"charge, discharge, current, voltage, curve",passed_stage2,"charge, discharge, current, voltage, curve",relevant
Hardy J.; Steggall J.; Hardy P.,"Hardy, John (56210513900); Steggall, John (58133748100); Hardy, Peter (58135155400)",56210513900; 58133748100; 58135155400,Rethinking lithium-ion battery management: Eliminating routine cell balancing enhances hazardous fault detection,2023,17,10.1016/j.est.2023.106931,https://www.scopus.com/pages/publications/85149681467?origin=resultslist,passed_stage1,"capacity, voltage",passed_stage2,"capacity, current",relevant
Yang H.; Li X.; Fu K.; Shang W.; Sun K.; Yang Z.; Hu G.; Tan P.,"Yang, Haosong (58353285700); Li, Xueyan (53877658700); Fu, Kang (58353285600); Shang, Wenxu (57207623402); Sun, Kai (57211732077); Yang, Zhi (59519853200); Hu, Guojun (57188734365); Tan, Peng (55683430000)",58353285700; 53877658700; 58353285600; 57207623402; 57211732077; 59519853200; 57188734365; 55683430000,Behavioral description of lithium-ion batteries by multiphysics modeling,2024,20,10.1016/j.decarb.2024.100076,https://www.scopus.com/pages/publications/105000034058?origin=resultslist,passed_stage1,"impedance, current, discharge, curve",passed_stage2,"charge, discharge",relevant
Ma X.-Y.; Zhang W.-K.; Yin Y.; Liu K.; Yang X.-G.,"Ma, Xiao-Ying (59395144400); Zhang, Wen-Ke (59301378800); Yin, Ying (57202121256); Liu, Kailong (55876866000); Yang, Xiao-Guang (56204013400)",59395144400; 59301378800; 57202121256; 55876866000; 56204013400,Multi-objective optimization of lithium-ion battery designs considering the dilemma between energy density and rate capability,2024,15,10.1016/j.egyai.2024.100416,https://www.scopus.com/pages/publications/85202289251?origin=resultslist,passed_stage1,"capacity, charge, discharge",passed_stage2,"capacity, charge, discharge",relevant
Hatherall O.; Barai A.; Niri M.F.; Wang Z.; Marco J.,"Hatherall, Ollie (58027991400); Barai, Anup (56151829100); Niri, Mona Faraji (54683766000); Wang, Zeyuan (58903800900); Marco, James (16305142700)",58027991400; 56151829100; 54683766000; 58903800900; 16305142700,Novel battery power capability assessment for improved eVTOL aircraft landing,2024,20,10.1016/j.apenergy.2024.122848,https://www.scopus.com/pages/publications/85185843738?origin=resultslist,passed_stage1,"voltage, current, plot",passed_stage2,"capacity, voltage, discharge",relevant
Ruan H.; Kirkaldy N.; Offer G.J.; Wu B.,"Ruan, Haijun (56440977900); Kirkaldy, Niall (56331175100); Offer, Gregory J. (23098060000); Wu, Billy (7403591460)",56440977900; 56331175100; 23098060000; 7403591460,Diagnosing health in composite battery electrodes with explainable deep learning and partial charging data,2024,14,10.1016/j.egyai.2024.100352,https://www.scopus.com/pages/publications/85187122607?origin=resultslist,passed_stage1,"capacity, current, voltage",passed_stage2,"capacity, voltage",relevant
Bizot C.; Blin M.-A.; Guichard P.; Soudan P.; Gaubicher J.; Poizot P.,"Bizot, Chloé (57222666912); Blin, Marie-Anne (57204188033); Guichard, Pierre (57204176362); Soudan, Patrick (6602998581); Gaubicher, Joël (6603619456); Poizot, Philippe (57204171679)",57222666912; 57204188033; 57204176362; 6602998581; 6603619456; 57204171679,Aluminum current collector for high voltage Li-ion battery. Part II: Benefit of the En’ Safe® primed current collector technology,2021,20,10.1016/j.elecom.2021.107008,https://www.scopus.com/pages/publications/85103685538?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, curve",passed_stage2,current,relevant
Galeotti M.; Cinà L.; Giammanco C.; Di Carlo A.; Santoni F.; De Angelis A.; Moschitta A.; Carbone P.,"Galeotti, Matteo (14022764600); Cinà, Lucio (55325315700); Giammanco, Corrado (59264378800); Di Carlo, Aldo (57202766367); Santoni, Francesco (55633234800); De Angelis, Alessio (21933861500); Moschitta, Antonio (6603240631); Carbone, Paolo (7102945279)",14022764600; 55325315700; 59264378800; 57202766367; 55633234800; 21933861500; 6603240631; 7102945279,"LiPo batteries dataset: Capacity, electrochemical impedance spectra, and fit of equivalent circuit model at various states-of-charge and states-of-health",2023,14,10.1016/j.dib.2023.109561,https://www.scopus.com/pages/publications/85171873540?origin=resultslist,passed_stage1,"capacity, discharge, plot",passed_stage2,"charge, discharge",relevant
