"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Chen K.; Xu R.-N.; Jiang P.-X.","Chen, Kai (59092939100); Xu, Rui-Na (7402813961); Jiang, Pei-Xue (55854331000)","59092939100; 7402813961; 55854331000","Experimental Investigation of Jet Impingement Cooling with Carbon Dioxide at Supercritical Pressures","2018","21","10.1115/1.4038421","https://www.scopus.com/pages/publications/85040731068?origin=resultslist"
"Zheng X.; Qu D.; Zhang F.; Liu Y.; Qin G.","Zheng, Xiong (56972881700); Qu, Dan (59436760300); Zhang, Fa (57221495617); Liu, Yu (55742034900); Qin, Guangzhao (7202862164)","56972881700; 59436760300; 57221495617; 55742034900; 7202862164","Measurements and calculations of thermal conductivity for liquid n-octane and n-decane","2021","32","10.1016/j.fluid.2021.112940","https://www.scopus.com/pages/publications/85099300361?origin=resultslist"
"Azharuddin; Saini P.","Azharuddin (58102973600); Saini, Prashant (58938949300)","58102973600; 58938949300","Characterization, Preparation and Thermophysical Properties Investigations of Aqueous AgNO3–Graphene Hybrid Nanofluids for Heat Transfer Applications","2024","17","10.1007/s10765-024-03377-5","https://www.scopus.com/pages/publications/85193537574?origin=resultslist"
"Liu C.; Zhang X.; Lv P.; Li Y.; Rao Z.","Liu, Chenzhen (56532874800); Zhang, Xuan (59878020700); Lv, Peizhao (57190953523); Li, Yimin (56014829800); Rao, Zhonghao (44461981100)","56532874800; 59878020700; 57190953523; 56014829800; 44461981100","Experimental study on the phase change and thermal properties of paraffin/carbon materials based thermal energy storage materials","2017","16","10.1080/01411594.2016.1277219","https://www.scopus.com/pages/publications/85010637639?origin=resultslist"
"Tran V.N.; Truong V.G.; Lee Y.W.; Kang H.W.","Tran, Van Nam (57198884519); Truong, Van Gia (57198889942); Lee, Yong Wook (55265186100); Kang, Hyun Wook (57203618619)","57198884519; 57198889942; 55265186100; 57203618619","Effect of optical energy modulation on the thermal response of biological tissue: computational and experimental validations","2020","14","10.1364/BOE.404827","https://www.scopus.com/pages/publications/85096834051?origin=resultslist"
"Abreu B.; Lamas B.; Fonseca A.; Martins N.; Oliveira M.S.A.","Abreu, Bruno (55243058600); Lamas, Bruno (37002850000); Fonseca, A. (55422480600); Martins, N. (55506292900); Oliveira, M.S.A. (7402586652)","55243058600; 37002850000; 55422480600; 55506292900; 7402586652","Experimental characterization of convective heat transfer with MWCNT based nanofluids under laminar flow conditions","2014","29","10.1007/s00231-013-1226-8","https://www.scopus.com/pages/publications/84893730247?origin=resultslist"
"Kærn M.R.; Modi A.; Jensen J.K.; Haglind F.","Kærn, M.R. (34971178600); Modi, A. (34771627700); Jensen, J.K. (56059217600); Haglind, F. (21742717400)","34971178600; 34771627700; 56059217600; 21742717400","An assessment of transport property estimation methods for ammonia-water mixtures and their influence on heat exchanger size","2015","15","10.1007/s10765-015-1857-8","https://www.scopus.com/pages/publications/85027958632?origin=resultslist"
"Sandhya M.; Ramasamy D.; Kadirgama K.; Harun W.S.W.; Saidur R.","Sandhya, M. (57211782885); Ramasamy, D. (26325891500); Kadirgama, K. (12761486500); Harun, W.S.W. (57215370957); Saidur, R. (6602374364)","57211782885; 26325891500; 12761486500; 57215370957; 6602374364","Assessment of Thermophysical Properties of Hybrid Nanoparticles [Graphene Nanoplatelets (GNPs) and Cellulose Nanocrystal (CNC)] in a Base Fluid for Heat Transfer Applications","2023","15","10.1007/s10765-023-03162-w","https://www.scopus.com/pages/publications/85148445923?origin=resultslist"
"Sundar L.S.; Mewada H.K.; Sangaraju S.","Sundar, L. Syam (25222272500); Mewada, Hiren K. (35766889700); Sangaraju, Sambasivam (23568586200)","25222272500; 35766889700; 23568586200","Experimental and ensemble machine learning analyses of heat transfer, friction factor and thermal performance factor of rGO/water nanofluids in a tube","2024","24","10.1016/j.ijft.2023.100557","https://www.scopus.com/pages/publications/85181762562?origin=resultslist"
"Le Meur G.; Bourouga B.; Dupuy T.","Le Meur, G. (6603563233); Bourouga, B. (56015275000); Dupuy, T. (6602116233)","6603563233; 56015275000; 6602116233","Measurement of contact parameters at electrode/sheet interface during resistance spot welding process","2003","22","10.1179/136217103225005589","https://www.scopus.com/pages/publications/1642495853?origin=resultslist"
"Parsazadeh M.; Duan X.","Parsazadeh, Mohammad (55779921500); Duan, Xili (57191420425)","55779921500; 57191420425","Effects of nanoparticles on phase change heat transfer rate in the presence of Rayleigh–Benard convection","2020","19","10.1016/j.ijheatmasstransfer.2020.119831","https://www.scopus.com/pages/publications/85084642439?origin=resultslist"
"Gupta J.; Pandey B.K.; Dwivedi D.K.; Mishra S.; Jaiswal R.L.; Pandey S.","Gupta, Jyoti (57213890072); Pandey, Brijesh Kumar (7102018593); Dwivedi, D.K. (59633541500); Mishra, Saurav (57869993300); Jaiswal, Ratan Lal (57210973064); Pandey, Satyabrat (57199920137)","57213890072; 7102018593; 59633541500; 57869993300; 57210973064; 57199920137","Experimental studies on thermal conductivity of metal oxides/water-ethylene glycol (50%-50%) nanofluids with varying temperature and concentration using ultrasonic interferometer","2023","20","10.1016/j.physb.2023.415376","https://www.scopus.com/pages/publications/85173585249?origin=resultslist"
"Hwang T.H.; Cai Y.; Cheng P.","Hwang, T.H. (7202848942); Cai, Y. (59827260900); Cheng, P. (7401619040)","7202848942; 59827260900; 7401619040","An experimental study of forced convection in a packed channel with asymmetric heating","1992","23","10.1016/0017-9310(92)90322-J","https://www.scopus.com/pages/publications/0026953117?origin=resultslist"
"Wei G.; Zhang Y.; Xu C.; Du X.; Yang Y.","Wei, Gaosheng (8966639600); Zhang, Yidi (57190584007); Xu, Chao (57218139781); Du, Xiaoze (8676813500); Yang, Yongping (57208454951)","8966639600; 57190584007; 57218139781; 8676813500; 57208454951","A thermal conductivity study of double-pore distributed powdered silica aerogels","2017","30","10.1016/j.ijheatmasstransfer.2016.12.062","https://www.scopus.com/pages/publications/85009754924?origin=resultslist"
"Chorin P.; Moreau F.; Saury D.","Chorin, P. (57197806397); Moreau, F. (57198104030); Saury, D. (8660394600)","57197806397; 57198104030; 8660394600","Heat transfer modification of a natural convection flow in a differentially heated cavity by means of a localized obstacle","2020","23","10.1016/j.ijthermalsci.2020.106279","https://www.scopus.com/pages/publications/85078656843?origin=resultslist"
"Alawi O.A.; Sidik N.A.C.","Alawi, Omer A. (56108584300); Sidik, Nor Azwadi Che (57204852231)","56108584300; 57204852231","Mathematical correlations on factors affecting the thermal conductivity and dynamic viscosity of nanorefrigerants","2014","36","10.1016/j.icheatmasstransfer.2014.08.033","https://www.scopus.com/pages/publications/84907550180?origin=resultslist"
"Yildirim G.; Genc S.","Yildirim, Gokhan (55813209800); Genc, Seval (7005739676)","55813209800; 7005739676","Experimental study on heat transfer of the magnetorheological fluids","2013","31","10.1088/0964-1726/22/8/085001","https://www.scopus.com/pages/publications/84881171163?origin=resultslist"
"Singh H.M.; Sharma D.P.; Alade I.O.","Singh, Hari Mohan (57677188300); Sharma, Durga Prasad (56134754400); Alade, Ibrahim Olanrewaju (56407140200)","57677188300; 56134754400; 56407140200","GBR-GSO based machine learning predictive model for estimating density of Al2N3, Si3N4, and TiN nanoparticles suspended in ethylene glycol nanofluids","2022","18","10.1140/epjp/s13360-022-02767-8","https://www.scopus.com/pages/publications/85132609374?origin=resultslist"
"Osakabe M.","Osakabe, Masahiro (57204083412)","57204083412","Thermal-Hydraulic Study of Integrated Steam Generator in PWR","1989","27","10.3327/jnst.26.286","https://www.scopus.com/pages/publications/85047697711?origin=resultslist"
"Wejrzanowski T.; Grybczuk M.; Wasiluk M.; Kurzydlowski K.J.","Wejrzanowski, Tomasz (15049091400); Grybczuk, Mateusz (56728551200); Wasiluk, Mateusz (57194910375); Kurzydlowski, Krzysztof J. (7006335771)","15049091400; 56728551200; 57194910375; 7006335771","Heat transfer through metal-graphene interfaces","2015","21","10.1063/1.4927389","https://www.scopus.com/pages/publications/84937485250?origin=resultslist"
"Liu C.; Mather P.T.","Liu, Changdeng (26662621000); Mather, Patrick T. (7004966195)","26662621000; 7004966195","A shape memory polymer with improved shape recovery","2004","19","10.1557/proc-855-w4.7","https://www.scopus.com/pages/publications/34249913938?origin=resultslist"
"Yahyaee A.","Yahyaee, A. (57215663938)","57215663938","Influence of nanoparticle shapes in nanofluid film boiling on vertical cylinders: A numerical study","2024","16","10.1016/j.ijft.2024.100631","https://www.scopus.com/pages/publications/85188552830?origin=resultslist"
"Penide-Fernandez R.; Sansoz F.","Penide-Fernandez, Rodrigo (57211020948); Sansoz, Frederic (6507214476)","57211020948; 6507214476","Anisotropic thermal conductivity under compression in two-dimensional woven ceramic fibers for flexible thermal protection systems","2019","29","10.1016/j.ijheatmasstransfer.2019.118721","https://www.scopus.com/pages/publications/85072271460?origin=resultslist"
"Yao G.; Yang H.; Zhao J.; Wen D.","Yao, Guice (57204214625); Yang, Haie (57211681342); Zhao, Jin (57195557398); Wen, Dongsheng (8600779400)","57204214625; 57211681342; 57195557398; 8600779400","Experimental study on flow and heat transfer enhancement by elastic instability in swirling flow","2020","15","10.1016/j.ijthermalsci.2020.106504","https://www.scopus.com/pages/publications/85086799055?origin=resultslist"
"Duan X.; Naterer G.F.","Duan, X. (57191420425); Naterer, G.F. (7003588790)","57191420425; 7003588790","Ground heat transfer from a varying line source with seasonal temperature fluctuations","2008","18","10.1115/1.2955467","https://www.scopus.com/pages/publications/59049093874?origin=resultslist"
"Ali S.A.; Mazumder S.","Ali, Syed Ashraf (55649792600); Mazumder, Sandip (35290873300)","55649792600; 35290873300","Phonon Boltzmann Transport Equation based modeling of time domain thermo-reflectance experiments","2017","19","10.1016/j.ijheatmasstransfer.2016.11.077","https://www.scopus.com/pages/publications/85010190243?origin=resultslist"
"Anbarasu S.; Muthukumar P.; Mishra S.C.","Anbarasu, Subramanian (55990360200); Muthukumar, Palanisamy (23019480400); Mishra, Subhash C. (55605780072)","55990360200; 23019480400; 55605780072","Thermal modeling of Mg2Ni-based solid-state hydrogen storage reactor","2014","20","10.1080/01457632.2013.877314","https://www.scopus.com/pages/publications/84898062021?origin=resultslist"
"Chen Y.; Luo P.; He D.; Ma R.","Chen, Yanjun (54786248600); Luo, Pingshan (57220605633); He, Deqiang (7403045841); Ma, Rui (57220602774)","54786248600; 57220605633; 7403045841; 57220602774","Numerical simulation and analysis of natural convective flow and heat transfer of nanofluid under electric field","2021","32","10.1016/j.icheatmasstransfer.2020.105053","https://www.scopus.com/pages/publications/85097453761?origin=resultslist"
"Fey K.-G.; Riehl I.; Wulf R.; Gross U.","Fey, Karl-Georg (56915544100); Riehl, Ingo (6507201360); Wulf, Rhena (22981884400); Gross, Ulrich (35884300000)","56915544100; 6507201360; 22981884400; 35884300000","Experimental and numerical investigation of the first heat-up of refractory concrete","2016","23","10.1016/j.ijthermalsci.2015.09.010","https://www.scopus.com/pages/publications/84944909422?origin=resultslist"
"Tavakkoli Osgouei Y.; Akin S.","Tavakkoli Osgouei, Yashar (57201325302); Akin, Serhat (7005263379)","57201325302; 7005263379","Experimental and numerical study of flow and thermal transport in fractured rock","2021","15","10.1007/s00231-020-03001-w","https://www.scopus.com/pages/publications/85098663852?origin=resultslist"
"Wang G.; Fan H.; Li J.; Li Z.; Zhou Y.","Wang, Guang (57408660400); Fan, Hongzhao (57216437668); Li, Jiawang (58127722400); Li, Zhigang (38361740900); Zhou, Yanguang (56502512000)","57408660400; 57216437668; 58127722400; 38361740900; 56502512000","Direct observation of tunable thermal conductance at solid/porous crystalline solid interfaces induced by water adsorbates","2024","19","10.1038/s41467-024-46473-8","https://www.scopus.com/pages/publications/85187905924?origin=resultslist"
"Jwo C.-S.; Teng T.-P.","Jwo, Ching-Song (6505851939); Teng, Tun-Ping (8941858900)","6505851939; 8941858900","Experimental study on thermal properties of brines containing nanoparticles","2005","19","","https://www.scopus.com/pages/publications/23944487832?origin=resultslist"
"Broniarz-Press L.; Pralat K.","Broniarz-Press, Lubomira (6602415957); Pralat, Karol (32668040500)","6602415957; 32668040500","Thermal conductivity of Newtonian and non-Newtonian liquids","2009","28","10.1016/j.ijheatmasstransfer.2009.06.019","https://www.scopus.com/pages/publications/68749090997?origin=resultslist"
"Jiang M.; Jiang B.; Lu R.; Chun L.; Xu H.; Yi G.","Jiang, Maqi (58629013000); Jiang, Bin (58730449700); Lu, Renzi (58629849800); Chun, Liang (57216922007); Xu, Hailun (55493821200); Yi, Gaolin (58630046200)","58629013000; 58730449700; 58629849800; 57216922007; 55493821200; 58630046200","Thermal and Humidity Performance Test of Rammed-Earth Dwellings in Northwest Sichuan during Summer and Winter","2023","14","10.3390/ma16186283","https://www.scopus.com/pages/publications/85173020406?origin=resultslist"
"Ablaoui E.M.; Malendowski M.; Szymkuc W.; Pozorski Z.","Ablaoui, El Mehdi (58803529500); Malendowski, Michał (55986918400); Szymkuc, Wojciech (57193576047); Pozorski, Zbigniew (6507822130)","58803529500; 55986918400; 57193576047; 6507822130","Determination of Thermal Properties of Mineral Wool Required for the Safety Analysis of Sandwich Panels Subjected to Fire Loads","2023","14","10.3390/ma16175852","https://www.scopus.com/pages/publications/85181850960?origin=resultslist"
"Motahar S.; Alemrajabi A.A.; Khodabandeh R.","Motahar, Sadegh (26022512600); Alemrajabi, Ali A. (21933504300); Khodabandeh, Rahmatollah (6602907858)","26022512600; 21933504300; 6602907858","Enhanced thermal conductivity of n-octadecane containing carbon-based nanomaterials","2016","30","10.1007/s00231-015-1678-0","https://www.scopus.com/pages/publications/84944559580?origin=resultslist"
"Sheikh N.A.; Ling Chuan Ching; Khan I.","Sheikh, Nadeem Ahmad (57191338913); Ling Chuan Ching, Dennis (57219210091); Khan, Ilyas (55566827000)","57191338913; 57219210091; 55566827000","A comprehensive review on theoretical aspects of nanofluids: Exact solutions and analysis","2020","25","10.3390/SYM12050725","https://www.scopus.com/pages/publications/85085388090?origin=resultslist"
"Wu J.; Lin Y.; Shu M.; Liu Y.; Ma Y.; Lin G.; Zhang C.; Jiao P.; Zhu F.; Wu Y.; Ewings R.A.; Walker H.C.; Deng G.; Chi S.; Jiang S.; Baggioli M.; Jin M.; Wang H.; Xie W.; Wei T.-R.; Yang J.; Shi X.; Ma J.","Wu, Jiangtao (57226302488); Lin, Yifei (59231507800); Shu, Mingfang (58826729300); Liu, Yifei (58610994700); Ma, Yupeng (57606228100); Lin, Gaoting (57089542400); Zhang, Cuiping (58951194600); Jiao, Pengfei (58827102500); Zhu, Fengfeng (55279811800); Wu, Yan (57194239325); Ewings, Russell A. (12345526800); Walker, Helen C. (56262910000); Deng, Guochu (23003954900); Chi, Songxue (13408157900); Jiang, Shengwei (57201936387); Baggioli, Matteo (56720357700); Jin, Min (36632484200); Wang, Haozhe (57727138900); Xie, Weiwei (56496077200); Wei, Tian-Ran (55855346200); Yang, Jiong (57221479528); Shi, Xun (55236289700); Ma, Jie (57213492793)","57226302488; 59231507800; 58826729300; 58610994700; 57606228100; 57089542400; 58951194600; 58827102500; 55279811800; 57194239325; 12345526800; 56262910000; 23003954900; 13408157900; 57201936387; 56720357700; 36632484200; 57727138900; 56496077200; 55855346200; 57221479528; 55236289700; 57213492793","Uncovering the phonon spectra and lattice dynamics of plastically deformable InSe van der Waals crystals","2024","22","10.1038/s41467-024-50249-5","https://www.scopus.com/pages/publications/85199355317?origin=resultslist"
"Burzo M.G.; Komarov P.L.; Raad P.E.","Burzo, M.G. (6507169685); Komarov, Pavel L. (57200196508); Raad, Peter E. (7005495241)","6507169685; 57200196508; 7005495241","A study of the effect of surface metalization on thermal conductivity measurements by the transient thermo-reflectance method","2002","15","10.1115/1.1517265","https://www.scopus.com/pages/publications/0036967257?origin=resultslist"
"Hao G.; Liu Z.","Hao, Guangchao (57209026597); Liu, Zhanqiang (24077795900)","57209026597; 24077795900","Experimental study on the formation of TCR and thermal behavior of hard machining using TiAlN coated tools","2019","20","10.1016/j.ijheatmasstransfer.2019.05.108","https://www.scopus.com/pages/publications/85066310462?origin=resultslist"
"Sattari A.S.; Rizvi Z.H.; Motra H.B.; Wuttke F.","Sattari, A.S. (57192256117); Rizvi, Z.H. (57192238496); Motra, H.B. (55788943300); Wuttke, F. (6507529343)","57192256117; 57192238496; 55788943300; 6507529343","Meso-scale modeling of heat transport in a heterogeneous cemented geomaterial by lattice element method","2017","27","10.1007/s10035-017-0751-4","https://www.scopus.com/pages/publications/85026862537?origin=resultslist"
"Gopinath A.; Tait N.L.; Garrett S.L.","Gopinath, Ashok (7006943296); Tait, Nicole L. (7102007971); Garrett, Steven L. (7102507186)","7006943296; 7102007971; 7102507186","Thermoacoustic streaming in a resonant channel: The time-averaged temperature distribution","1998","32","10.1121/1.421298","https://www.scopus.com/pages/publications/0031919277?origin=resultslist"
"Kharat P.B.; Kounsalye J.S.; Shisode M.V.; Jadhav K.M.","Kharat, Prashant B. (57194467209); Kounsalye, Jitendra S. (57194464126); Shisode, Mahendra V. (57194464767); Jadhav, K.M. (7004678750)","57194467209; 57194464126; 57194464767; 7004678750","                         Preparation and Thermophysical Investigations of CoFe                         2                         O                         4                         -based Nanofluid: a Potential Heat Transfer Agent                     ","2019","36","10.1007/s10948-018-4711-y","https://www.scopus.com/pages/publications/85046754987?origin=resultslist"
"Murashov V.V.","Murashov, Vladimir V. (36895188300)","36895188300","Thermal conductivity of model zeolites: Molecular dynamics simulation study","1999","36","10.1088/0953-8984/11/5/013","https://www.scopus.com/pages/publications/0033534951?origin=resultslist"
"Sadegh S.S.; Aghababaei A.; Mohammadi O.; Mosleh H.J.; Shafii M.B.; Ahmadi M.H.","Sadegh, Sina Safaee (57217686873); Aghababaei, Ali (57217677002); Mohammadi, Omid (57216806970); Mosleh, Hassan Jafari (56606300300); Shafii, Mohammad Behshad (36878996000); Ahmadi, Mohammad Hossein (59732397100)","57217686873; 57217677002; 57216806970; 56606300300; 36878996000; 59732397100","An experimental investigation into the melting of phase change material using Fe3O4 magnetic nanoparticles under magnetic field","2021","33","10.1007/s10973-020-09958-4","https://www.scopus.com/pages/publications/85087484639?origin=resultslist"
"Swann J.D.; Stoliarov S.I.","Swann, Joshua D. (57193843235); Stoliarov, Stanislav I. (57203050009)","57193843235; 57203050009","Determination of pyrolysis and combustion properties of poly(vinylidene fluoride) using comprehensive modeling: Relating heat transfer to the intumescent char's porous structure","2021","18","10.1016/j.firesaf.2020.103086","https://www.scopus.com/pages/publications/85084432493?origin=resultslist"
"Coquard R.; Baillis D.; Quenard D.","Coquard, R. (8695923700); Baillis, D. (6602534889); Quenard, D. (6603700708)","8695923700; 6602534889; 6603700708","Experimental and theoretical study of the hot-ring method applied to low-density thermal insulators","2008","25","10.1016/j.ijthermalsci.2007.01.015","https://www.scopus.com/pages/publications/37549060028?origin=resultslist"
"Dugast G.; Settar A.; Chetehouna K.; Gascoin N.; Marceau J.-L.; Bouchez M.; De Bats M.","Dugast, G. (57215087625); Settar, A. (56656576100); Chetehouna, K. (8539165300); Gascoin, N. (16041876100); Marceau, J.-L. (57215093459); Bouchez, M. (56042652500); De Bats, M. (57215091475)","57215087625; 56656576100; 8539165300; 16041876100; 57215093459; 56042652500; 57215091475","Experimental and numerical analysis on the thermal degradation of reinforced silicone-based composites: Effect of carbon fibres and silicon carbide powder contents","2020","22","10.1016/j.tca.2020.178563","https://www.scopus.com/pages/publications/85079875627?origin=resultslist"
"Karimi A.R.; Siavashi M.; Keshtkaran A.H.; Tousi R.","Karimi, Ali Reza (57911704800); Siavashi, Majid (25641863100); Keshtkaran, Amir Hasan (59134941600); Tousi, Reza (59134941700)","57911704800; 25641863100; 59134941600; 59134941700","Impact of using different numbers of fins on heat transfer augmentation in a phase-change material helical coil latent energy storage system","2024","18","10.1016/j.icheatmasstransfer.2024.107608","https://www.scopus.com/pages/publications/85193626853?origin=resultslist"
"Cheng L.; Chai L.; Guo Z.","Cheng, Lixin (7403337585); Chai, Lei (35219750200); Guo, Zhixiong (7404658411)","7403337585; 35219750200; 7404658411","THERMAL ENERGY, PROCESS, AND TRANSPORT INTENSIFICATION - A BRIEF REVIEW OF LITERATURE IN 2021 AND PROSPECTS","2022","14","10.1615/HEATTRANSRES.2022044585","https://www.scopus.com/pages/publications/85139203818?origin=resultslist"
"Kanti P.K.; Vicki Wanatasanappan V.; Mahjoub Said N.; Sharma K.V.","Kanti, Praveen Kumar (57216493630); Vicki Wanatasanappan, V. (58093867000); Mahjoub Said, Nejla (57217198447); Sharma, K.V. (8417385700)","57216493630; 58093867000; 57217198447; 8417385700","Stability, thermophysical properties, forced convective heat transfer, entropy minimization and exergy performance of a novel hybrid nanofluid: Experimental study","2024","33","10.1016/j.molliq.2024.125571","https://www.scopus.com/pages/publications/85199912189?origin=resultslist"
"Gorton J.P.; Lee S.K.; Lee Y.; Brown N.R.","Gorton, Jacob P. (57203570205); Lee, Soon K. (57219309468); Lee, Youho (59662273100); Brown, Nicholas R. (55700961800)","57203570205; 57219309468; 59662273100; 55700961800","Comparison of experimental and simulated critical heat flux tests with various cladding alloys: Sensitivity of iron-chromium-aluminum (FeCrAl) to heat transfer coefficients and material properties","2019","22","10.1016/j.nucengdes.2019.110295","https://www.scopus.com/pages/publications/85071029041?origin=resultslist"
"De S.; Lakshmisha K.N.; Bilger R.W.","De, Santanu (57189997691); Lakshmisha, K.N. (6603097580); Bilger, Robert W. (24538686400)","57189997691; 6603097580; 24538686400","Modeling of nonreacting and reacting turbulent spray jets using a fully stochastic separated flow approach","2011","36","10.1016/j.combustflame.2011.03.006","https://www.scopus.com/pages/publications/80052364204?origin=resultslist"
"Tomita M.; Ogasawara M.; Terada T.; Watanabe T.","Tomita, Motohiro (36968297400); Ogasawara, Masataka (57218539733); Terada, Takuya (57201362829); Watanabe, Takanobu (7501520740)","36968297400; 57218539733; 57201362829; 7501520740","Development of interatomic potential of Ge(1-x-y)SixSny ternary alloy semiconductors for classical lattice dynamics simulation","2018","24","10.7567/JJAP.57.04FB04","https://www.scopus.com/pages/publications/85044446761?origin=resultslist"
"Li W.; Gao Y.; Wang J.; Sun Z.; Ma X.; Tang W.; Ayub Z.; He Y.; Cao Y.","Li, Wei (57226601819); Gao, Yu (57488709400); Wang, Jiacheng (59646477500); Sun, Zhichuan (57214376513); Ma, Xiang (57204882691); Tang, Weiyu (57196420646); Ayub, Zahid (7003270012); He, Yan (55390283500); Cao, Yanlong (55656550700)","57226601819; 57488709400; 59646477500; 57214376513; 57204882691; 57196420646; 7003270012; 55390283500; 55656550700","Evaporation flow patterns and heat transfer in copper and stainless steel three-dimensional dimpled tubes","2022","14","10.1016/j.ijheatmasstransfer.2022.122954","https://www.scopus.com/pages/publications/85129425918?origin=resultslist"
"Omri M.; Aich W.; Rmili H.; Kolsi L.","Omri, Mohamed (56973969500); Aich, Walid (59157749900); Rmili, Hatem (6507528900); Kolsi, Lioua (16309887800)","56973969500; 59157749900; 6507528900; 16309887800","Experimental Analysis of the Thermal Performance Enhancement of a Vertical Helical Coil Heat Exchanger Using Copper Oxide-Graphene (80-20%) Hybrid Nanofluid","2022","21","10.3390/app122211614","https://www.scopus.com/pages/publications/85142610105?origin=resultslist"
"Jamzad P.; Kenna J.; Bahrami M.","Jamzad, Pouya (57204854255); Kenna, John (57193992652); Bahrami, Majid (35499001600)","57204854255; 57193992652; 35499001600","Development of novel plate heat exchanger using natural graphite sheet","2019","30","10.1016/j.ijheatmasstransfer.2018.11.129","https://www.scopus.com/pages/publications/85057536687?origin=resultslist"
"Jin W.; Jiang L.; Lv Y.; Li K.; Liu H.; Cao W.; Chen C.; Chen Z.; Li W.","Jin, Weizhun (56996614500); Jiang, Linhua (56434925600); Lv, Yajun (56734080200); Li, Keliang (12774469100); Liu, Huanqiang (37061443500); Cao, Wenkai (57208389014); Chen, Cheng (58524087300); Chen, Zhiyou (57364572600); Li, Weihua (57203497753)","56996614500; 56434925600; 56734080200; 12774469100; 37061443500; 57208389014; 58524087300; 57364572600; 57203497753","Experimental study on preparation and heat transfer efficiency of ethylene glycol/water-based hybrid nanofluids enhanced by graphene oxide/MXene nanoparticles","2024","19","10.1016/j.molliq.2024.125033","https://www.scopus.com/pages/publications/85193439229?origin=resultslist"
"Adachi T.; Chang X.; Nagai H.","Adachi, Takuya (57210917499); Chang, Xinyu (57206818740); Nagai, Hiroki (55595639400)","57210917499; 57206818740; 55595639400","Numerical analysis of loop heat pipe using nucleate boiling model in evaporator core","2022","14","10.1016/j.ijheatmasstransfer.2022.123207","https://www.scopus.com/pages/publications/85133448415?origin=resultslist"
"Hessling O.; Fogelström J.B.; Kojola N.; Sichen D.","Hessling, Oscar (57191527103); Fogelström, Julia Brännberg (57427026800); Kojola, Niklas (26431017800); Sichen, Du (7004692552)","57191527103; 57427026800; 26431017800; 7004692552","The Effect of the Endothermic Reaction Nature on the Iron Ore Pellet Reduction Using Hydrogen","2022","23","10.1007/s11663-021-02405-1","https://www.scopus.com/pages/publications/85123504042?origin=resultslist"
"Zuo Y.; Wu W.-F.; Zhang X.-X.; Lin L.; Xiang S.-H.; Liu T.-S.; Niu L.-Y.; Huang X.-L.","Zuo, Yi (8589853800); Wu, Wen-Fei (59793511700); Zhang, Xin-Xin (37000326600); Lin, Lin (56739577500); Xiang, Shun-Hua (36799645100); Liu, Tie-Shu (7405911383); Niu, Long-Ying (7101760608); Huang, Xia-Lan (7410247072)","8589853800; 59793511700; 37000326600; 56739577500; 36799645100; 7405911383; 7101760608; 7410247072","A study of heat transfer in high-performance hydrogen bell-type annealing furnaces","2001","26","10.1002/htj.10007","https://www.scopus.com/pages/publications/0035672919?origin=resultslist"
"Qasim M.; Ali Z.; Farooq U.; Lu D.","Qasim, Muhammad (57195434813); Ali, Zafar (57201646151); Farooq, Umer (59503042000); Lu, Dianchen (14016114800)","57195434813; 57201646151; 59503042000; 14016114800","Investigation of entropy in two-dimensional peristaltic flow with temperature dependent viscosity, thermal and electrical conductivity","2020","18","10.3390/e22020200","https://www.scopus.com/pages/publications/85080886304?origin=resultslist"
"Druzgalski C.L.; Lapointe S.; Whitesides R.; McNenly M.J.","Druzgalski, Clara L. (36092482600); Lapointe, Simon (54583902800); Whitesides, Russell (21744205300); McNenly, Matthew J. (56026295100)","36092482600; 54583902800; 21744205300; 56026295100","Predicting octane number from microscale flame dynamics","2019","18","10.1016/j.combustflame.2019.06.019","https://www.scopus.com/pages/publications/85068529742?origin=resultslist"
"Abdollahi-Moghaddam M.; Motahari K.; Rezaei A.","Abdollahi-Moghaddam, Mohammad (58163367000); Motahari, Kazem (36998959500); Rezaei, Ali (57224818647)","58163367000; 36998959500; 57224818647","Performance characteristics of low concentrations of CuO/water nanofluids flowing through horizontal tube for energy efficiency purposes; an experimental study and ANN modeling","2018","34","10.1016/j.molliq.2018.08.149","https://www.scopus.com/pages/publications/85052930920?origin=resultslist"
"Toptan A.; Kropaczek D.J.; Avramova M.N.","Toptan, Aysenur (57192275672); Kropaczek, David J. (12646274800); Avramova, Maria N. (6505938851)","57192275672; 12646274800; 6505938851","Gap conductance modeling II: Optimized model for UO2-Zircaloy interfaces","2019","16","10.1016/j.nucengdes.2019.110289","https://www.scopus.com/pages/publications/85071271134?origin=resultslist"
"Shu Y.; Zhang W.; Fan Z.; Yue S.; Yin B.; Li L.K.B.; Liu P.; Ren P.; Ao W.","Shu, Yao (57627999600); Zhang, Wenchao (51666184800); Fan, Zhimin (57217030735); Yue, Songchen (57212022767); Yin, Bo (57217863493); Li, Larry K.B. (35196144400); Liu, Peijin (26638308900); Ren, Ping (36659710600); Ao, Wen (55199602500)","57627999600; 51666184800; 57217030735; 57212022767; 57217863493; 35196144400; 26638308900; 36659710600; 55199602500","Improving the combustion efficiency and agglomeration of aluminum-water propellants via n-Al/CuO metastable intermolecular composites","2024","30","10.1016/j.combustflame.2023.113246","https://www.scopus.com/pages/publications/85179477762?origin=resultslist"
